+----------------------------------------------------------------+---------+
|                        Hyperparameters                         | min DCF |
+----------------------------------------------------------------+---------+
| PCA m=False, π_tilde=0.5, pi_T = 0.5, C =0.01 K=1.0, c=15, d=2 |  0.217  |
| PCA m=False, π_tilde=0.1, pi_T = 0.5, C =0.01 K=1.0, c=15, d=2 |  0.599  |
| PCA m=False, π_tilde=0.9, pi_T = 0.5, C =0.01 K=1.0, c=15, d=2 |  0.777  |
| PCA m=None, π_tilde=0.5, pi_T = 0.5, C =0.01 K=1.0, c=15, d=2  |  0.113  |
| PCA m=None, π_tilde=0.1, pi_T = 0.5, C =0.01 K=1.0, c=15, d=2  |  0.222  |
| PCA m=None, π_tilde=0.9, pi_T = 0.5, C =0.01 K=1.0, c=15, d=2  |  0.491  |
|   PCA m=7, π_tilde=0.5, pi_T = 0.5, C =0.01 K=1.0, c=15, d=2   |  0.112  |
|   PCA m=7, π_tilde=0.1, pi_T = 0.5, C =0.01 K=1.0, c=15, d=2   |  0.228  |
|   PCA m=7, π_tilde=0.9, pi_T = 0.5, C =0.01 K=1.0, c=15, d=2   |  0.471  |
|   PCA m=5, π_tilde=0.5, pi_T = 0.5, C =0.01 K=1.0, c=15, d=2   |  0.113  |
|   PCA m=5, π_tilde=0.1, pi_T = 0.5, C =0.01 K=1.0, c=15, d=2   |  0.231  |
|   PCA m=5, π_tilde=0.9, pi_T = 0.5, C =0.01 K=1.0, c=15, d=2   |  0.509  |
+----------------------------------------------------------------+---------+
