+----------------------------------------------------------------+---------+
|                        Hyperparameters                         | act DCF |
+----------------------------------------------------------------+---------+
| PCA m=False, π_tilde=0.5, pi_T = 0.5, C =0.01 K=1.0, c=15, d=2 |  0.532  |
| PCA m=False, π_tilde=0.1, pi_T = 0.5, C =0.01 K=1.0, c=15, d=2 |   1.0   |
| PCA m=False, π_tilde=0.9, pi_T = 0.5, C =0.01 K=1.0, c=15, d=2 |  0.946  |
| PCA m=None, π_tilde=0.5, pi_T = 0.5, C =0.01 K=1.0, c=15, d=2  |  0.116  |
| PCA m=None, π_tilde=0.1, pi_T = 0.5, C =0.01 K=1.0, c=15, d=2  |  0.538  |
| PCA m=None, π_tilde=0.9, pi_T = 0.5, C =0.01 K=1.0, c=15, d=2  |  0.958  |
|   PCA m=7, π_tilde=0.5, pi_T = 0.5, C =0.01 K=1.0, c=15, d=2   |  0.115  |
|   PCA m=7, π_tilde=0.1, pi_T = 0.5, C =0.01 K=1.0, c=15, d=2   |  0.572  |
|   PCA m=7, π_tilde=0.9, pi_T = 0.5, C =0.01 K=1.0, c=15, d=2   |  0.954  |
|   PCA m=5, π_tilde=0.5, pi_T = 0.5, C =0.01 K=1.0, c=15, d=2   |  0.119  |
|   PCA m=5, π_tilde=0.1, pi_T = 0.5, C =0.01 K=1.0, c=15, d=2   |  0.521  |
|   PCA m=5, π_tilde=0.9, pi_T = 0.5, C =0.01 K=1.0, c=15, d=2   |  0.947  |
+----------------------------------------------------------------+---------+
